id,session_id,timestamp,signal_type,frequency,bandwidth,rssi,antenna_id,location
7362,room01_20250709_151402,2025-07-09 14:14:12.760341,LTE 1800,1735,1,-36.428530345943145,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7363,room01_20250709_151402,2025-07-09 14:14:12.760341,LTE 1800,1748,1,-35.87877121013386,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7364,room01_20250709_151402,2025-07-09 14:14:12.760341,LTE 1800,1760,1,-36.76167900537266,rtl-sdr-1,0101000020110F000000000000000000000000000000000000
7365,room01_20250709_151402,2025-07-09 14:14:15.803207,RC Low Band,27,1,-24.067780830170584,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7366,room01_20250709_151402,2025-07-09 14:14:15.803207,RC Aircraft,35,1,-22.83707160604787,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7367,room01_20250709_151402,2025-07-09 14:14:15.803207,RC Ground,40,1,-23.17576675291579,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7368,room01_20250709_151402,2025-07-09 14:14:15.803207,TETRA / Emergency,380,1,-6.359158329872159,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7369,room01_20250709_151402,2025-07-09 14:14:15.803207,TETRA / Emergency,385,1,-6.28258499408978,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7370,room01_20250709_151402,2025-07-09 14:14:15.803207,TETRA / Emergency,390,1,-7.548351051511436,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7371,room01_20250709_151402,2025-07-09 14:14:15.803207,TETRA / Emergency,395,1,-6.755575942463975,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7372,room01_20250709_151402,2025-07-09 14:14:15.803207,TETRA / Emergency,400,1,-6.432921076925718,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7373,room01_20250709_151402,2025-07-09 14:14:15.803207,LoRa / ISM 433,433,1,-4.868656498823355,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7374,room01_20250709_151402,2025-07-09 14:14:15.803207,ISM 868,869,1,-10.652026550481203,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7375,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 UL,880,1,-21.888708039420422,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7376,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 UL,889,1,-21.76138222503351,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7377,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 UL,898,1,-22.030630839286687,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7378,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 UL,906,1,-16.643999986308064,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7379,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 UL,915,1,-19.515675355261493,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7380,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 DL,925,1,-16.076441701064187,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7381,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 DL,934,1,-14.347310851117417,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7382,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 DL,942,1,-19.514561191093705,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7383,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 DL,951,1,-26.998291947193252,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7384,room01_20250709_151402,2025-07-09 14:14:15.803207,GSM 900 DL,960,1,-18.191526926518677,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7385,room01_20250709_151402,2025-07-09 14:14:15.803207,FM Radio,88,1,-15.882118276592113,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7386,room01_20250709_151402,2025-07-09 14:14:15.803207,FM Radio,93,1,-11.10879277766359,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7387,room01_20250709_151402,2025-07-09 14:14:15.803207,FM Radio,98,1,-6.894168384140861,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7388,room01_20250709_151402,2025-07-09 14:14:15.803207,FM Radio,103,1,-11.352133142275573,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7389,room01_20250709_151402,2025-07-09 14:14:15.803207,FM Radio,108,1,-15.734251125356465,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7390,room01_20250709_151402,2025-07-09 14:14:15.803207,Airband (AM),118,1,-16.886732604742377,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7391,room01_20250709_151402,2025-07-09 14:14:15.803207,Airband (AM),123,1,-10.24940380158714,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7392,room01_20250709_151402,2025-07-09 14:14:15.803207,Airband (AM),128,1,-8.178344990204367,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7393,room01_20250709_151402,2025-07-09 14:14:15.803207,Airband (AM),132,1,-10.986141359087508,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7394,room01_20250709_151402,2025-07-09 14:14:15.803207,Airband (AM),137,1,-15.677000083907684,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
7395,room01_20250709_151402,2025-07-09 14:14:15.803207,AIS / Marine,162,1,-21.402792210796562,rtl-sdr-1,0101000020110F000000000000C079DBBF0000000090B6D6BF
